title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable aerosol.reffccwctop.tavg-u-hxy-ccl.mon.GLB (Emon.reffccwctop),988,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/988,mon aerosol atmos,reffccwctop_tavg-u-hxy-ccl,effective_radius_of_cloud_condensed_water_particles_at_cloud_top,Not present,area: areacella,area: time: mean where convective_cloud,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,longitude latitude time,mon,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,aerosol,,,GLB,m,New,,,,,,,,,,
Variable aerosol.ccldncl.tavg-u-hxy-ccl.mon.GLB (Emon.ccldncl),858,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/858,mon aerosol atmos,ccldncl_tavg-u-hxy-ccl,number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,Not present,area: areacella,"area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere)",Cloud Droplet Number Concentration of Convective Cloud Tops,longitude latitude time,mon,Cloud Droplet Number Concentration of Convective Cloud Tops,aerosol,,,GLB,m-3,New,,,,,,,,,,
Variable aerosol.so2.tavg-h2m-hxy-u.3hr.GLB (E3hrPt.so2),702,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/702,3hr aerosol,so2_tavg-h2m-hxy-u,mole_fraction_of_sulfur_dioxide_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface so2 volume mixing ration at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Surface SO2 volume mixing ratio at CF sites,aerosol,,,GLB,mol mol-1,New,,,,,,,,,,
Variable aerosol.mmrss.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrss),701,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/701,3hr aerosol,mmrss_tpt-h2m-hxys-u,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents instantaneous surface sea salt aerosol mass mixing ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Sea salt Aerosol Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmrso4.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrso4),700,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/700,3hr aerosol,mmrso4_tpt-h2m-hxys-u,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable is for instantaneous surface mass mixing ratio of sulfate aerosol at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous Aerosol Sulfate Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmroa.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmroa),699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/699,3hr aerosol,mmroa_tpt-h2m-hxys-u,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface organic aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours.",site time1 lowerModelLayer,3hr,Instantaneous surface total organic aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmrno3.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrno3),698,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/698,3hr aerosol,mmrno3_tpt-h2m-hxys-u,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NO3 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface NO3 aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmrnh4.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrnh4),697,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/697,3hr aerosol,mmrnh4_tpt-h2m-hxys-u,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NH4 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface NH4 aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmrdust.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrdust),696,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/696,3hr aerosol,mmrdust_tpt-h2m-hxys-u,mass_fraction_of_dust_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
Variable aerosol.mmrbc.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrbc),695,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/695,3hr aerosol,mmrbc_tpt-h2m-hxys-u,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface elemental carbon Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Elemental carbon mass mixing ratio,aerosol,,,GLB,kg kg-1,New,,,,,,,,,,
